pais_id,pais,provincia_id,provincia,anio,familia,genero,especie,especies_agrupadas,rollizos,carbon,lenia,postes,otros,todos_los_productos
32,Argentina,30,Entre Rios,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,440000,3600,0,46500,32959,523059
32,Argentina,38,Jujuy,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,5638,0,0,265,0,5903
32,Argentina,42,La Pampa,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,0,232,934,0,0,1166
32,Argentina,54,Misiones,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,62549,0,0,0,0,62549
32,Argentina,82,Santa Fe,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,150112,0,0,0,0,150112
32,Argentina,90,Tucuman,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1745,0,0,0,0,1745
32,Argentina,6,Buenos Aires,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,146387,0,0,0,0,146387
32,Argentina,26,Chubut,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2,0,0,0,0,2
32,Argentina,14,Cordoba,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,3840,0,18570,0,0,22410
32,Argentina,18,Corrientes,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,466591,0,0,35729,6636,508956
32,Argentina,30,Entre Rios,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,687850,0,0,51900,3200,742950
32,Argentina,38,Jujuy,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,25321,0,0,446,0,25767
32,Argentina,42,La Pampa,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,20,167,5,0,0,192
32,Argentina,54,Misiones,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,120196,0,37,0,1670,121903
32,Argentina,82,Santa Fe,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,56308,0,0,11,0,56319
32,Argentina,90,Tucuman,2002,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2065,0,0,0,0,2065
32,Argentina,6,Buenos Aires,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,142946,0,0,0,0,142946
32,Argentina,14,Cordoba,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,3868,0,20000,0,0,23868
32,Argentina,18,Corrientes,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,289670,0,0,31819,92,321581
32,Argentina,30,Entre Rios,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,412488,0,0,75588,19190,507266
32,Argentina,38,Jujuy,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,84464,0,0,1079,0,85543
32,Argentina,42,La Pampa,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,149,11,754,0,0,914
32,Argentina,50,Mendoza,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1733,0,0,0,0,1733
32,Argentina,54,Misiones,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,113223,0,54,4,1024,114305
32,Argentina,82,Santa Fe,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,104783,0,0,1,0,104784
32,Argentina,90,Tucuman,2003,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1447,0,0,0,0,1447
32,Argentina,6,Buenos Aires,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,315955,0,0,0,0,315955
32,Argentina,14,Cordoba,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,6630,20000,0,0,0,26630
32,Argentina,18,Corrientes,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,497926,0,15608,1272,0,514806
32,Argentina,30,Entre Rios,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,477066,0,80812,26647,0,584525
32,Argentina,38,Jujuy,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,74812,0,1484,0,0,76296
32,Argentina,42,La Pampa,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,75,75,0,0,0,150
32,Argentina,50,Mendoza,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,4282,0,0,0,0,4282
32,Argentina,54,Misiones,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,103713,30,54,80,0,103877
32,Argentina,82,Santa Fe,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,147858,0,330,0,0,148188
32,Argentina,90,Tucuman,2004,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1447,0,0,0,0,1447
32,Argentina,6,Buenos Aires,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,187326,0,0,0,0,187326
32,Argentina,14,Cordoba,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,6630,0,20000,0,0,26630
32,Argentina,18,Corrientes,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,324813,0,0,6066,1042,331921
32,Argentina,30,Entre Rios,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,495746,0,0,129518,11277,636541
32,Argentina,38,Jujuy,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,97250,0,0,2146,0,99396
32,Argentina,42,La Pampa,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,81,573,1027,0,0,1681
32,Argentina,50,Mendoza,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,6862,0,0,0,0,6862
32,Argentina,54,Misiones,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,62650,0,16,196,144,63006
32,Argentina,82,Santa Fe,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,116237,0,1,0,0,116238
32,Argentina,90,Tucuman,2005,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1447,0,0,0,0,1447
32,Argentina,6,Buenos Aires,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,143675,0,0,2,0,143677
32,Argentina,22,Chaco,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1538,0,0,0,0,1538
32,Argentina,14,Cordoba,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,8619,5640,29640,0,0,43899
32,Argentina,18,Corrientes,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,334882,0,0,22531,2174,359587
32,Argentina,30,Entre Rios,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,620303,0,0,95102,51805,767210
32,Argentina,34,Formosa,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1,0,0,0,0,1
32,Argentina,38,Jujuy,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,92185,0,0,1801,0,93986
32,Argentina,42,La Pampa,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,568,40,128,0,0,736
32,Argentina,50,Mendoza,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2244,0,0,0,0,2244
32,Argentina,54,Misiones,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,77218,0,65,480,144,77907
32,Argentina,58,Neuquen,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,7,0,0,0,0,7
32,Argentina,82,Santa Fe,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,73568,0,0,0,0,73568
32,Argentina,90,Tucuman,2006,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1447,0,0,0,0,1447
32,Argentina,6,Buenos Aires,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,218002,0,0,37,0,218039
32,Argentina,22,Chaco,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,4884,0,0,479,0,5363
32,Argentina,14,Cordoba,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,12750,5000,20000,0,0,37750
32,Argentina,18,Corrientes,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,296925,0,0,7786,145,304856
32,Argentina,30,Entre Rios,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,864812,0,0,16701,42976,924489
32,Argentina,34,Formosa,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,14,0,0,0,0,14
32,Argentina,38,Jujuy,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,131067,0,0,1460,0,132527
32,Argentina,42,La Pampa,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,0,0,62,0,0,62
32,Argentina,50,Mendoza,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1765,0,0,0,0,1765
32,Argentina,54,Misiones,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,43075,0,26,2579,0,45680
32,Argentina,82,Santa Fe,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,71841,0,0,0,0,71841
32,Argentina,90,Tucuman,2007,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1300,0,0,0,0,1300
32,Argentina,6,Buenos Aires,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,232466,0,0,4,0,232470
32,Argentina,22,Chaco,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,3119,0,0,506,0,3625
32,Argentina,14,Cordoba,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,29362,5000,20000,0,0,54362
32,Argentina,18,Corrientes,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,499558,0,0,6989,1688,508235
32,Argentina,30,Entre Rios,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,628407,0,0,17275,55043,700725
32,Argentina,34,Formosa,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,3,0,0,0,0,3
32,Argentina,38,Jujuy,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,80440,0,0,840,0,81280
32,Argentina,42,La Pampa,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,0,0,564,0,0,564
32,Argentina,50,Mendoza,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,637,0,0,0,0,637
32,Argentina,54,Misiones,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,36371,0,0,0,0,36371
32,Argentina,62,Rio Negro,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,28,0,39,0,0,67
32,Argentina,82,Santa Fe,2008,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,112022,0,0,0,0,112022
32,Argentina,6,Buenos Aires,2009,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,137022,0,0,0,0,137022
32,Argentina,22,Chaco,2009,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2071,0,0,0,0,2071
32,Argentina,14,Cordoba,2009,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,12750,5000,20000,0,0,37750
